org_sentences,paraphrased,org_perplexity,para_perplexity,diff_perplex,log_likelihood_org,log_likelihood_para,diff_log_likelihood
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, k River, Wisconsin, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,22.184329986572266,12.075468063354492,2.3134124279022217,3.099386215209961,0.7859737873077393
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, k Grove Village, California and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic both hollow-body guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,23.54888153076172,13.440019607543944,2.3134124279022217,3.159078359603882,0.8456659317016602
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American a guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and exec. Kurt Listug.",10.108861923217772,21.060741424560547,10.951879501342772,2.3134124279022217,3.047410726547241,0.7339982986450195
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is founded in . Taylor Guitars are one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The Taylor company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,19.24517059326172,9.136308670043944,2.3134124279022217,2.9572601318359375,0.6438477039337158
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow , but make a lot of steel string electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,18.45909881591797,8.350236892700195,2.3134124279022217,2.915557384490967,0.6021449565887451
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor. Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in manufacture solid back acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,20.40532684326172,10.296464920043944,2.3134124279022217,3.015795946121216,0.7023835182189941
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers producers of acoustic guitars in the United States. world. They specialize in acoustic guitars and semi-hollow , but are also active in electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,23.999828338623047,13.890966415405272,2.3134124279022217,3.178046703338623,0.8646342754364014
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","s and banjos. Taylor Guitars is an American guitar manufacturer based located in El Cajon, Orange County, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,17.106348037719727,6.997486114501953,2.3134124279022217,2.839449644088745,0.5260372161865234
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars guitar is an American guitar manufacturer manufacturer. This company is based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,18.88335418701172,8.774492263793945,2.3134124279022217,2.9382808208465576,0.6248683929443359
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of inland manufacturing facilities for acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric body guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,23.444561004638672,13.335699081420898,2.3134124279022217,3.1546385288238525,0.8412261009216309
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and California. Taylor is one of the largest manufacturers of acoustic guitars in the United States. country. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,23.701923370361328,13.593061447143556,2.3134124279022217,3.1655561923980713,0.8521437644958496
"Taylor Guitars is an American guitar manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic guitars and semi-hollow electric guitars. The company was founded in 1974 by Bob Taylor and Kurt Listug.","Taylor Guitars is an American guitar music instrument manufacturer based in El Cajon, California, and is one of the largest manufacturers of acoustic guitars in the United States. They specialize in acoustic vintage guitars and semi-hollow electric resonator guitars. The company was founded in  by Bob Taylor and Kurt Listug.",10.108861923217772,21.02391815185547,10.915056228637695,2.3134124279022217,3.0456607341766357,0.7322483062744141
